Rank,Name,Team,Cl,Games,Goals,Per Game
1,Emil Jaaskelainen,Akron,Sr.,13,14,1.08
2,Damorney Hutchinson,Presbyterian,Sr.,8,8,1.00
-,Sergio Ors Navarro,West Virginia,Sr.,11,11,1.00
-,Matthew Roou,Notre Dame,Sr.,12,12,1.00
5,Jesus Barea,Missouri St.,Sr.,11,10,.91
-,Alec Hughes,Massachusetts,Sr.,11,10,.91
7,Dominick Bachstein,Drexel,Sr.,10,9,.90
-,Ryan Holmes,Ga. Southern,So.,10,9,.90
9,Sergi Solans,Oregon St.,Fr.,9,8,.89
10,Trace Terry,Bowling Green,Jr.,12,10,.83
11,Dean Boltz,Wisconsin,Fr.,11,9,.82
-,Alex Harris,Cornell,So.,11,9,.82
-,Stas Korzeniowski,Penn,Sr.,11,9,.82
-,Adam Luckhurst,Duke,Sr.,11,9,.82
15,Connor Mautino,CSU Bakersfield,Sr.,10,8,.80
16,Alexis Ledoux,UC Santa Barbara,Sr.,13,10,.77
-,Omar Yehya,Utah Valley,Sr.,13,10,.77
18,Ulfur Bjornsson,Duke,So.,11,8,.73
-,Michael Huss,Liberty,Sr.,11,8,.73
20,Marek Gonda,George Mason,Sr.,10,7,.70
-,Harrison Myring,South Carolina,Sr.,10,7,.70
22,Bennett Painter,Bowling Green,So.,13,9,.69
23,Daniel D'Ippolito,Fordham,Jr.,12,8,.67
-,Elie Kisoka,Kansas City,Jr.,12,8,.67
-,Luis Sahmkow,Pittsburgh,Sr.,12,8,.67
-,Marius Stenner,Delaware,Fr.,12,8,.67
-,Martin Vician,North Carolina,Sr.,12,8,.67
-,Cole Werthmuller,Wright St.,Sr.,12,8,.67
29,Ethan Ballek,South Carolina,Jr.,11,7,.64
-,Kevin Leonhard,FDU,Sr.,11,7,.64
-,Joschi Schelb,Saint Francis,So.,11,7,.64
32,Leonardo D'Ambrosio,Col. of Charleston,Sr.,13,8,.62
-,Tommy Mihalic,Indiana,Sr.,13,8,.62
34,Shane Anderson,Purdue Fort Wayne,Sr.,10,6,.60
-,Martin Bakken,Dayton,So.,10,6,.60
-,Marcus Caldeira,West Virginia,Jr.,10,6,.60
-,Elias Khodri,Gardner-Webb,Jr.,10,6,.60
-,Omar Mora,Oral Roberts,Jr.,10,6,.60
39,Sam Donnellan,Delaware,Sr.,12,7,.58
-,Alejandro Martinez,Milwaukee,Jr.,12,7,.58
-,Bright Nutornutsi,Grand Canyon,Jr.,12,7,.58
42,Jason Bucknor,Michigan,Sr.,9,5,.56
-,Daniel Ittycheria,Princeton,Jr.,9,5,.56
44,Cesar Bahena,San Diego,Jr.,11,6,.55
-,Matteo Correia,Cleveland St.,Fr.,11,6,.55
-,Joseph Farouz,Yale,So.,11,6,.55
-,Gage Guerra,Louisville,Sr.,11,6,.55
-,James Jennings,Missouri St.,Sr.,11,6,.55
-,Samy Kanaan,San Diego,Jr.,11,6,.55
-,Brendan Krueger,High Point,Jr.,11,6,.55
-,Ethan Stevenson,Longwood,Sr.,11,6,.55
52,Josemir Gomez,Butler,Jr.,13,7,.54
53,Michael Adedokun,Ohio St.,Sr.,12,6,.50
-,Roy Biegon,Lafayette,So.,10,5,.50
-,Trenton Blake,Dartmouth,So.,10,5,.50
-,Mamadou Diarra,Fla. Atlantic,Sr.,10,5,.50
-,Nacho Diaz Barragan,Evansville,Sr.,12,6,.50
-,Momo Diop,Rider,Jr.,12,6,.50
-,Ask Ekeland,Boston College,Jr.,12,6,.50
-,Trip Fleming,Wisconsin,So.,10,5,.50
-,Chase Gilley,Robert Morris,Sr.,12,6,.50
-,Sergio Gonzalez Fernandez,Iona,Jr.,10,5,.50
-,Cason Goodman,UC Davis,Jr.,12,6,.50
-,Colin Griffith,Maryland,Jr.,12,6,.50
-,Noeh Hernandez,DePaul,So.,12,6,.50
-,Maxi Hopfer,Duquesne,Sr.,12,6,.50
-,Angel Iniguez,San Jose St.,Jr.,12,6,.50
-,Maximilian Kissel,Vermont,Jr.,12,6,.50
-,Luis Lara,Saint Louis,Sr.,12,6,.50
-,Gerard Lopez Forner,Niagara,Sr.,10,5,.50
-,Yoshiya Okawa,UNC Greensboro,Sr.,10,5,.50
-,William Pierce,Fairfield,Jr.,10,5,.50
-,Hjalti Sigurdsson,Dayton,Sr.,10,5,.50
-,Albert Thorsen,Pittsburgh,So.,12,6,.50
-,Scott Vatne,Elon,Sr.,12,6,.50
-,Titus Washington,Seattle U,Sr.,12,6,.50
77,Sam Bassett,Denver,Sr.,13,6,.46
-,Ander Castillo,UAlbany,Sr.,13,6,.46
-,Liam Gainey,Western Ill.,Jr.,13,6,.46
-,Matt Lenert,Col. of Charleston,So.,13,6,.46
-,Jacob Woznicki,Hofstra,Sr.,13,6,.46
82,Nacho Abeal,SIUE,Sr.,11,5,.45
-,AJ Chastonay,Belmont,Sr.,11,5,.45
-,Arnau Farnos,Oregon St.,Jr.,11,5,.45
-,Matthew Goncalves,New Hampshire,Sr.,11,5,.45
-,Taig Healy,NC State,Jr.,11,5,.45
-,Raphael Kistmann,Kansas City,Jr.,11,5,.45
-,Leon Koehl,Maryland,So.,11,5,.45
-,Gage Lyons,Army West Point,So.,11,5,.45
-,Bart Muns,UIC,Sr.,11,5,.45
