Rank,Name,Team,Cl,Games,Goals,Per Game
1,Edouard Nys,UIC,Jr.,16,15,.94
-,Donavan Phillip,NC State,Jr.,16,15,.94
3,Junior Diouf,Grand Canyon,Fr.,15,14,.93
-,Arnau Farnos,Oregon St.,Sr.,15,14,.93
5,Palmer Ault,Indiana,Sr.,18,16,.89
6,Tim Strele,Saint Peter's,Sr.,15,12,.80
7,Zach Zengue,Georgetown,Sr.,17,13,.76
8,Daniel Lugo,High Point,So.,16,12,.75
-,Richard Monath,Delaware,Jr.,16,12,.75
-,Sergi Solans,UCLA,So.,16,12,.75
11,Yeider Zuluaga,Seattle U,Sr.,13,9,.69
12,Daniel Burko,Hofstra,Sr.,16,11,.69
-,Mikey Johnson,Delaware,Sr.,16,11,.69
-,Marius Stenner,Delaware,So.,16,11,.69
15,Blake D'Agostino,California Baptist,So.,15,10,.67
-,Cooper Forcellini,Xavier,Sr.,15,10,.67
17,David Ajagbe,Portland,So.,16,10,.62
-,Laurie Goddard,Hofstra,Sr.,16,10,.62
-,Stephan Soghomonian,SMU,So.,16,10,.62
20,Daniel Ittycheria,Princeton,Sr.,13,8,.62
21,Oskar Kaufmann,USC Upstate,So.,18,11,.61
-,Arnaud Tattevin,UNC Greensboro,Jr.,18,11,.61
23,Sadam Masereka,Maryland,Sr.,15,9,.60
-,Johan Nissen-Lie,Bellarmine,So.,15,9,.60
25,Arnold Matshazi,San Jose St.,So.,17,10,.59
-,Pablo Pozos,West Virginia,Jr.,17,10,.59
-,Trace Terry,Bowling Green,Sr.,17,10,.59
28,Sean Albritton,Fairfield,Fr.,12,7,.58
-,Dagur Traustason,Virginia Tech,Fr.,12,7,.58
30,Mitchell Baker,Georgetown,So.,16,9,.56
-,Patrick Cayelli,Penn,Sr.,16,9,.56
-,Arnau Rabassa Guillamon,FDU,Sr.,16,9,.56
-,Lilian Ricol,UCF,Jr.,16,9,.56
34,Jaime Amaro,Bryant,Fr.,18,10,.56
-,Enzo Dovlo,UNC Greensboro,Jr.,18,10,.56
36,Lucas Almeida,Siena,Jr.,15,8,.53
-,Shane Anderson,Purdue Fort Wayne,Sr.,15,8,.53
-,Johannes Hanken Tjostheim,Boston College,Sr.,15,8,.53
-,Ethan Sassine,Dayton,Sr.,15,8,.53
-,Nicholas Simmonds,Virginia,Fr.,15,8,.53
-,Iann Topete,Purdue Fort Wayne,Sr.,15,8,.53
42,Marcus Caldeira,West Virginia,Sr.,17,9,.53
-,Cooper Flax,Wake Forest,Sr.,17,9,.53
44,Eduardo De Oliveira,UTRGV,Jr.,10,5,.50
-,Andres Escudero,Evansville,Fr.,18,9,.50
-,William Fagerberg,Manhattan,So.,14,7,.50
-,Guilherme Gomes,St. John's (NY),Fr.,16,8,.50
-,Ransford Gyan,Clemson,So.,16,8,.50
-,Joe Highfield,Portland,So.,16,8,.50
-,Evan Howard,SIUE,Sr.,16,8,.50
-,David Ismail,Vermont,Sr.,16,8,.50
-,Theo Klein,Omaha,Sr.,12,6,.50
-,Samson Kpardeh,Gardner-Webb,So.,16,8,.50
-,Mikkel Lejbowicz,Seton Hall,So.,14,7,.50
-,Ricky Louis,Ga. Southern,So.,16,8,.50
-,Luka Lukic,California,Sr.,16,8,.50
-,Stephane Njike,Maryland,So.,14,7,.50
-,Ryan Okerayi,Houston Christian,Jr.,16,8,.50
-,Alex Ruiz,Kentucky,Sr.,14,7,.50
-,Fumiya Shiraishi,Missouri St.,Sr.,16,8,.50
-,Arnau Vilamitjana,Pittsburgh,Sr.,16,8,.50
62,Ethan Ballek,South Carolina,Sr.,17,8,.47
-,Fabio Bozesan,South Fla.,Sr.,17,8,.47
-,Stefan Dobrijevic,Akron,Sr.,17,8,.47
-,Jeremy Francou,Kansas City,Jr.,17,8,.47
-,Diego Hernandez,Furman,Jr.,17,8,.47
-,Angel Iniguez,San Jose St.,Sr.,17,8,.47
-,Charlie Kosakoff,Washington,Jr.,17,8,.47
-,Finlay Oliver,Stony Brook,Jr.,17,8,.47
-,Lewis Rourke,Old Dominion,Jr.,17,8,.47
71,Liam Gainey,Western Ill.,Sr.,15,7,.47
-,Seth Hammond,St. Bonaventure,Sr.,15,7,.47
-,Denis Krioutchenkov,Charlotte,Sr.,15,7,.47
-,Niklas Thanhofer,LIU,Sr.,15,7,.47
75,Grayson Elmquist,Michigan,Jr.,13,6,.46
-,Philipp Kühn,Vermont,Fr.,13,6,.46
-,Eduardo Mustre,FIU,Sr.,13,6,.46
78,Angel Lopez Martin,Coastal Carolina,Fr.,11,5,.45
79,Zach Lifferth,Liberty,Sr.,18,8,.44
-,Drew Roskos,Bucknell,So.,18,8,.44
-,Nathan Simes,Wofford,Jr.,18,8,.44
82,Martin Bakken,Dayton,Jr.,16,7,.44
-,Brayden Beason,San Francisco,So.,16,7,.44
-,Austin Brummett,UConn,Sr.,16,7,.44
-,Kyle Evans,Marist,Jr.,16,7,.44
-,Kenan Hot,Duke,Sr.,16,7,.44
-,Milton Lopez,SMU,Jr.,16,7,.44
-,Nathan Richmond,Clemson,Sr.,16,7,.44
-,Taylor Rogers,Utah Tech,So.,16,7,.44
-,Jacobo Sanfeliu,George Mason,Sr.,16,7,.44
91,Tim Allos,Oakland,Sr.,14,6,.43
-,Niv Berkovitz,Santa Clara,Jr.,14,6,.43
-,Isaiah Chisolm,Kentucky,Jr.,14,6,.43
-,David Davila,Southern Ind.,So.,14,6,.43
-,Isaac Emojong,Utah Valley,So.,14,6,.43
-,Mads Horgoien,Marquette,Fr.,14,6,.43
-,Wahabu Musah,Clemson,So.,14,6,.43
-,Gijs Verheul,Marist,So.,14,6,.43
-,Keegan Walker,Green Bay,Jr.,14,6,.43
100,Jaylen Orr,Gardner-Webb,Sr.,12,5,.42
-,Alex Vaz,Fairfield,Fr.,12,5,.42
102,Alessandro Arlotti,Duke,Sr.,17,7,.41
-,Wilfer Bustamante,Furman,So.,17,7,.41
-,Mitch Coughlon,Bradley,Jr.,17,7,.41
-,Brady Geho,UMBC,So.,17,7,.41
-,Ethan Gill,Boston U.,Sr.,17,7,.41
-,Elias Khodri,New Hampshire,Sr.,17,7,.41
-,Sivert Ryssdalsnes,Quinnipiac,So.,17,7,.41
-,Joschi Schelb,Rutgers,Jr.,17,7,.41
-,Emil Seedorff Sorensen,Ga. Southern,Fr.,17,7,.41
-,Iain Wagner,San Diego,So.,17,7,.41
112,Elias Arsvoll,Charlotte,So.,15,6,.40
-,Brando Bedolla,Longwood,So.,15,6,.40
-,Saad Chaouki,Memphis,Jr.,15,6,.40
-,Mamadou Diarra,Fla. Atlantic,Sr.,15,6,.40
-,Trevor Islam,Stanford,So.,15,6,.40
-,Zsombor Pall,Stetson,Jr.,15,6,.40
-,Reon Tezuka,Niagara,Jr.,15,6,.40
119,Myles Culley,Davidson,Jr.,18,7,.39
-,Kyle McGowan,Denver,Jr.,18,7,.39
121,Danny Istambouli,Sacred Heart,Jr.,13,5,.38
-,Dunes Nielsen,Utah Tech,So.,13,5,.38
-,Oliver Roche,UCLA,Jr.,13,5,.38
124,Prosper Adagani,High Point,Fr.,16,6,.38
-,Kenshin Akimoto,Radford,Jr.,16,6,.38
-,Miguel Arilla,Creighton,Jr.,16,6,.38
-,Westin Carnevale,Cornell,Sr.,16,6,.38
-,Junior Casillas,Mercer,Sr.,16,6,.38
-,Daniel D'Ippolito,Fordham,Sr.,16,6,.38
-,Romeo Dahlen,Penn,So.,16,6,.38
-,Samir-Mohamed Djeha,Georgia St.,So.,16,6,.38
-,Ivar Orri Gissurarson,UAlbany,Jr.,16,6,.38
-,Archie Hatcher,Holy Cross,Fr.,16,6,.38
-,Bardia Hormozi,Princeton,Jr.,16,6,.38
-,Daniil Kaban,Howard,So.,16,6,.38
-,Brock Kiper,Belmont,Jr.,16,6,.38
-,Steven Ramirez,San Diego,Jr.,16,6,.38
-,David Raphael,San Francisco,So.,16,6,.38
-,Jaxon Reinhardt,North Florida,Sr.,16,6,.38
-,Martim Sereno,George Mason,So.,16,6,.38
-,Vance Sheffield,NIU,Fr.,16,6,.38
-,Misei Yoshizawa,Clemson,Sr.,16,6,.38
143,Mario Carlos,Cal St. Fullerton,Sr.,19,7,.37
-,Misael Gonzalez Lopez,UC Irvine,Sr.,19,7,.37
-,Ethan Roberts,Campbell,Sr.,19,7,.37
146,Angelo Ventrella,Providence,Fr.,14,5,.36
147,Nacho Abeal,North Carolina,Sr.,17,6,.35
-,Iragi Kalala,Presbyterian,Sr.,17,6,.35
-,Yanis Lakhlifi,St. Thomas (MN),Sr.,17,6,.35
-,Tate Lorentz,Wake Forest,Jr.,17,6,.35
-,Yanis Lakhlifi,St. Thomas (MN),Sr.,17,6,.35
-,Tate Lorentz,Wake Forest,Jr.,17,6,.35
